clean_text,label,word_count,raw_token_count,stopwords_removed
large language model type ai model trained massive text datasets understand generate natural language llm use transformer architecture billion parameter training involves predicting next token sequence model like gpt4 claude gemini llama leading example instruction tuning reinforcement learning human feedback align model user intent llm demonstrate emergent capability like reasoning code generation prompt engineering shape model behavior without retraining hallucination key limitation model generate false information context window determines much text model process,Artificial Intelligence,73,99,26
alphago ai program developed deepmind play board game go first program defeat professional human player without handicap alphago combine deep neural network monte carlo tree search us policy network select move value network evaluate board position alphago zero improved learning entirely selfplay without human data alphazero generalized approach chess shogi victory lee sedol 2016 landmark moment ai history system demonstrated ai could master complex intuitive domain previously thought require human creativity,Artificial Intelligence,71,101,30
generative ai refers artificial intelligence system capable generating new content including text image audio video generative adversarial network use generator discriminator trained variational autoencoders learn latent representation generation diffusion model denoise random noise coherent output large language model generate text predicting token application include image synthesis music composition code generation drug design tool like dalle stable diffusion midjourney generate image text prompt ethical concern include deepfakes copyright misinformation generative ai transforming creative industry scientific research,Artificial Intelligence,75,92,17
expert system computer program emulates decisionmaking ability human expert using knowledge base inference engine knowledge base store domainspecific fact rule ifthen format inference engine applies rule fact draw conclusion forward chaining start known fact applies rule reach goal backward chaining start goal work backward find supporting fact expert system among first successful ai application medicine finance engineering mycin early expert system diagnosing bacterial infection limitation include difficulty updating knowledge lack common sense reasoning,Artificial Intelligence,73,105,32
computer vision object detection identifies localizes object within image sliding window approach scan image multiple scale region proposal network generate candidate object location yolo performs detection single forward pas realtime speed feature pyramid network detect object multiple scale simultaneously nonmaximum suppression remove duplicate detection anchor box define prior shape bounding box prediction intersection union measure detection quality coco pascal voc standard benchmark application include autonomous driving surveillance retail analytics medical imaging recent transformerbased detector like detr eliminate handdesigned component,Artificial Intelligence,79,90,11
space exploration investigation outer space astronomy space technology physical exploration space conducted robotic spacecraft human spaceflight space exploration began 20th century space race united state soviet union sputnik became first artificial satellite 1957 yuri gagarin became first human space 1961 apollo program landed human moon 1969 robotic mission explored planet solar system international space station hosted continuous human presence since 2000 private company like spacex blue origin reshaping industry,Space Exploration,69,103,34
moon landing refers arrival spacecraft surface moon apollo 11 achieved first crewed lunar landing july 20 1969 neil armstrong became first human walk moon followed buzz aldrin six apollo mission successfully landed astronaut moon 1969 1972 sample lunar rock soil returned earth scientific study saturn v rocket powerful launch vehicle ever built lunar module separated command module orbit descended surface mission fulfilled president kennedy goal landing moon end 1960s,Space Exploration,69,112,43
mar rover robotic vehicle explore surface mar first successful mar rover sojourner landed 1997 part mar pathfinder mission spirit opportunity landed 2004 greatly exceeded planned 90day mission curiosity landed 2012 still operational studying geology habitability mar perseverance landed 2021 searching sign ancient microbial life perseverance also carried ingenuity first aircraft fly another planet rover use solar panel radioisotope thermoelectric generator power controlled remotely significant signal delay earth,Space Exploration,67,102,35
international space station modular space station low earth orbit operated nasa roscosmos esa jaxa csa continuously inhabited since november 2000 station orbit approximately 400 kilometer altitude completes 15 orbit per day serf microgravity laboratory scientific research biology physic astronomy meteorology iss assembled orbit decade crew member arrive depart via soyuz spacecraft recently spacex crew dragon station span size football field spacewalks conducted maintenance construction plan commercial successor development,Space Exploration,68,106,38
nasa united state government agency responsible civilian space program aeronautics research established 1958 response soviet sputnik launch nasa led mercury gemini apollo program took human moon space shuttle program operated 1981 2011 flying 135 mission nasa operates numerous scientific mission including hubble space telescope mar rover voyager probe artemis program aim return human moon agency collaborates internationally esa jaxa partner nasa develops cuttingedge aerospace technology share research publicly,Space Exploration,68,97,29
spacex american aerospace company founded elon musk 2002 goal reducing space transportation cost enabling colonization mar developed falcon 9 rocket reusable first stage land vertically launch falcon heavy powerful operational rocket dragon spacecraft ferry cargo crew iss starlink constellation thousand satellite providing broadband internet starship fully reusable launch system development mar mission spacex revolutionized launch industry dramatically reduced cost company completed hundred successful orbital launch,Space Exploration,65,99,34
hubble space telescope large spacebased observatory launched 1990 nasa esa orbit earth 540 kilometer altitude distorting effect atmosphere hubble observes ultraviolet visible nearinfrared light initial mirror flaw corrected astronaut 1993 servicing mission hubble produced one million observation contributed discovery expansion rate universe black hole age cosmos famous image include pillar creation hubble deep field operated far beyond original 15year design life,Space Exploration,61,101,40
james webb space telescope large infrared telescope launched december 2021 successor hubble orbit second lagrange point 15 million kilometer earth webb primary mirror 65 meter diameter composed 18 goldcoated hexagonal segment observes universe infrared wavelength allowing see dust cloud observe distant early galaxy webb captured deepest sharpest infrared image distant universe studying exoplanet atmosphere star formation first galaxy big bang webb collaboration nasa esa csa,Space Exploration,65,101,36
voyager program consists two spacecraft voyager 1 voyager 2 launched 1977 study outer planet voyager 1 flew jupiter saturn heading toward interstellar space voyager 2 spacecraft visited uranus neptune spacecraft left heliosphere entered interstellar space making distant humanmade object carry golden record sound image representing life earth voyager 1 23 billion kilometer earth spacecraft still communicate nasa using nuclear power radioisotope thermoelectric generator,Space Exploration,63,97,34
apollo program nasa human spaceflight program successfully landed astronaut moon 1969 1972 included 17 mission six landed lunar surface apollo 1 ended tragedy cabin fire killed three astronaut launch rehearsal apollo 8 first crewed spacecraft orbit moon apollo 13 suffered oxygen tank explosion crew safely returned earth astronaut collected 382 kilogram lunar sample program employed 400000 people required enormous technological innovation legacy apollo shaped american space policy inspired generation scientist,Space Exploration,70,103,33
satellite object intentionally placed orbit around celestial body artificial satellite serve purpose including communication navigation earth observation scientific research gps satellite enable global positioning meter accuracy weather satellite monitor cloud cover temperature storm system communication satellite relay telephone television internet signal remote sensing satellite map land use deforestation ice cover first artificial satellite sputnik launched 1957 low earth orbit satellite orbit 2000 kilometer geostationary satellite orbit 35786 kilometer appear fixed one point earth,Space Exploration,73,91,18
black hole region spacetime gravity strong nothing including light escape cross event horizon black hole form massive star collapse end life stellar black hole mass several time sun supermassive black hole center galaxy mass billion time greater event horizon telescope captured first image black hole shadow 2019 stephen hawking proposed black hole emit thermal radiation quantum effect called hawking radiation black hole distort time space around according general relativity,Space Exploration,69,106,37
milky way galaxy contains solar system barred spiral galaxy estimated 100 400 billion star milky way approximately 100000 lightyears diameter solar system located 26000 lightyears galactic center supermassive black hole called sagittarius astar resides center galaxy contains stellar population different age metallicities dark matter make milky way mass magellanic cloud small satellite galaxy milky way dark night milky way visible band light across sky,Space Exploration,64,105,41
solar system consists sun object gravitationally bound including eight planet dwarf planet moon asteroid comet inner rocky planet mercury venus earth mar outer gas giant jupiter saturn uranus neptune asteroid belt lie mar jupiter kuiper belt beyond neptune contains icy body including pluto oort cloud distant spherical shell comet sun contains 9986 percent solar system mass solar system formed 46 billion year ago collapsing cloud gas dust,Space Exploration,67,98,31
exoplanet planet orbit star sun first confirmed exoplanet detection 1992 kepler space telescope discovered thousand exoplanets detecting transit across star habitable zone orbital region liquid water could exist planet surface trappist1 system seven earthsized planet three habitable zone james webb space telescope characterizes exoplanet atmosphere observing transmission spectroscopy hot jupiter gas giant orbiting close star superearths planet larger earth smaller neptune 5000 exoplanets confirmed date,Space Exploration,65,104,39
human biology scientific study human specie encompasses anatomy physiology genetics evolution behavior human member specie homo sapiens evolved africa approximately 300000 year ago human body consists trillion cell organized tissue organ organ system major organ system include nervous circulatory digestive respiratory immune system human genetics study inheritance variation trait human genome project sequenced complete human dna human distinguished large brain bipedal locomotion complex language medicine applies biological knowledge maintain restore health,Human Biology,71,99,28
dna deoxyribonucleic acid molecule carry genetic information living organism consists two strand wound double helix strand composed nucleotide containing sugar phosphate group one four base adenine thymine cytosine guanine base pairing rule dictate adenine pair thymine cytosine pair guanine sequence base encodes genetic instruction dna replication copy genome cell division mutation change dna sequence gene segment dna encode protein human genome contains approximately 3 billion base pair 20000 gene,Human Biology,69,104,35
cell basic structural functional unit living organism human multicellular estimated 37 trillion cell eukaryotic cell membranebound nucleus containing dna key organelle include mitochondrion generate energy ribosome synthesize protein endoplasmic reticulum process molecule cell membrane regulates enters exit cell cell cycle consists interphase mitosis cytokinesis stem cell differentiate specialized cell type cancer occurs cell divide uncontrollably cell signaling coordinate behavior cell chemical messenger,Human Biology,62,90,28
human brain central organ nervous system control thought memory emotion movement sensation consists approximately 86 billion neuron connected trillion synapsis cerebral cortex outer layer responsible higher cognitive function cerebellum coordinate movement balance brainstem control basic life function like breathing heart rate limbic system regulates emotion memory neurotransmitter like dopamine serotonin acetylcholine relay signal neuron neuroplasticity allows brain reorganize response experience brain imaging technique like mri fmri reveal structure activity,Human Biology,69,98,29
immune system protects body pathogen including bacteria virus fungi parasite innate immunity provides immediate nonspecific defense including physical barrier inflammation adaptive immunity generates specific response particular pathogen b cell produce antibody neutralize threat cell directly kill infected cell help coordinate immune response lymph node filter lymph house immune cell thymus matures cell memory cell enable faster response upon subsequent exposure enabling vaccine work autoimmune disease occur immune system attack body tissue immunodeficiency disease impair immune function,Human Biology,76,93,17
human heart muscular organ pump blood throughout body four chamber two atrium two ventricle right side pump deoxygenated blood lung left side pump oxygenated blood body heart valve prevent backflow blood heart beat approximately 70 time per minute rest totaling 25 billion beat lifetime sinoatrial node generates electrical impulse regulate heartbeat rhythm coronary artery supply blood heart muscle heart disease leading cause death worldwide blood pressure measure force blood vessel wall,Human Biology,71,102,31
lung primary organ respiratory system responsible gas exchange human two lung located thoracic cavity air enters nose mouth travel trachea branch bronchus smaller bronchiole gas exchange occurs tiny air sac called alveolus oxygen pass blood carbon dioxide expelled diaphragm intercostal muscle drive breathing adult lung contain 300 million alveolus total surface area size tennis court respiratory system also warms humidifies filter inhaled air lung disease include asthma pneumonia chronic obstructive pulmonary disease,Human Biology,72,106,34
nervous system coordinate body function electrical chemical signal central nervous system consists brain spinal cord peripheral nervous system connects cns rest body sensory neuron carry signal receptor cns motor neuron carry command cns muscle gland autonomic nervous system regulates involuntary function like heart rate digestion sympathetic division trigger fight flight response parasympathetic division promotes rest digestion neuron communicate synapsis using neurotransmitter neurological disorder include parkinson disease epilepsy multiple sclerosis,Human Biology,69,98,29
digestive system break food nutrient absorbed bloodstream process begin mouth chewing saliva initiate digestion food travel esophagus stomach acid enzyme break small intestine absorbs nutrient help liver gallbladder pancreas large intestine absorbs water form feces beneficial gut bacteria aid digestion support immunity digestive system approximately 9 meter long mouth anus digestive disorder include irritable bowel syndrome crohn disease gastroesophageal reflux enzyme deficiency impair digestion specific nutrient,Human Biology,66,104,38
human skeleton provides structural support protects organ enables movement produce blood cell consists 206 bone adult axial skeleton includes skull vertebral column rib cage appendicular skeleton includes limb girdle bone composed collagen calcium phosphate giving flexibility strength bone marrow produce red blood cell white blood cell platelet cartilage cushion joint form structure like nose ear ligament connect bone osteoporosis condition reduced bone density increasing fracture risk bone remodeling continuously replaces old bone new tissue,Human Biology,74,101,27
muscle tissue enables movement contraction three type muscle skeletal cardiac smooth skeletal muscle attached bone controlled voluntarily cardiac muscle make heart wall contract rhythmically smooth muscle line organ blood vessel involuntary skeletal muscle contraction triggered motor neuron releasing acetylcholine muscle fiber contain myosin actin filament slide past contraction atp provides energy muscle contraction slowtwitch fiber resistant fatigue used endurance fasttwitch fiber produce force fatigue quickly regular exercise increase muscle mass strength hypertrophy,Human Biology,72,103,31
blood fluid connective tissue circulates cardiovascular system delivering oxygen nutrient cell removing waste product consists plasma red blood cell white blood cell platelet red blood cell contain hemoglobin bind oxygen white blood cell component immune system platelet involved blood clotting blood volume adult 5 liter blood type determined antigen red blood cell abo rh system important blood transfusion must match blood type avoid immune reaction anemia result insufficient red blood cell hemoglobin,Human Biology,72,103,31
kidney paired beanshaped organ filter blood produce urine kidney contains one million filtering unit called nephron nephron filter blood removing waste product excess ion reabsorbing useful molecule kidney regulate blood pressure electrolyte balance acidbase balance produce erythropoietin stimulates red blood cell production 180 liter fluid filtered daily 15 liter becomes urine ureter carry urine bladder storage kidney disease result diabetes hypertension infection dialysis performs kidney function fail,Human Biology,67,94,27
human genome complete set dna human cell containing approximately 3 billion base pair human genome project completed first full sequence 2003 genome contains 20000 proteincoding gene represent 15 percent total dna remaining dna includes regulatory sequence repetitive element sequence unknown function genetic variation individual 01 percent single nucleotide polymorphism common form variation genomewide association study identify genetic variant linked disease gene editing tool like crisprcas9 modify genome precision personalized medicine us genomic information tailor treatment,Human Biology,75,105,30
protein large biomolecules composed chain amino acid perform functional role cell 20 standard amino acid sequence amino acid encoded gene determines protein threedimensional structure function protein act enzyme catalyzing biochemical reaction structural component hormone antibody transporter protein synthesis occurs ribosome using messenger rna template folding correct threedimensional shape essential function misfolded protein associated disease like alzheimers parkinson proteomics study entire set protein cell organism,Human Biology,64,102,38
albert einstein germanborn theoretical physicist widely regarded one greatest scientist time developed theory special relativity theory general relativity revolutionized understanding space time gravity universe famous equation e equal mc squared established equivalence mass energy einstein awarded nobel prize physic 1921 discovery photoelectric effect foundational quantum theory born ulm germany 1879 died princeton new jersey 1955 einstein work brownian motion provided evidence existence atom,Famous Scientists,63,107,44
isaac newton english mathematician physicist astronomer widely recognized one influential scientist time formulated law motion universal gravitation dominated scientific view physical universe three century newton built first practical reflecting telescope developed theory color based observation prism decomposes white light visible spectrum also share credit leibniz developing calculus 1687 work principia mathematica one important scientific work ever published newton served president royal society knighted queen anne,Famous Scientists,65,109,44
marie curie polish naturalized french physicist chemist conducted pioneering research radioactivity first woman win nobel prize first person win nobel prize two scientific field person win multiple science nobel prize physic 1903 nobel prize chemistry 1911 curie discovered element polonium radium developed mobile xray unit world war one called petite curie research laid groundwork nuclear physic cancer radiotherapy died 1934 aplastic anemia likely caused radiation exposure,Famous Scientists,66,106,40
charles darwin english naturalist geologist biologist best known contribution evolutionary biology 1859 book origin specie proposed specie life descended common ancestor process called natural selection natural selection explains specie adapt environment successive generation darwin also described sexual selection mechanism evolution supported theory extensive evidence fossil geographical distribution specie comparative anatomy darwin theory unified life science unifying framework modern biology also studied earthworm barnacle plant movement,Famous Scientists,65,103,38
nikola tesla serbianamerican inventor electrical engineer futurist best known contribution design modern alternating current electrical supply system tesla developed rotating magnetic field principle ac motor held patent many invention including tesla coil radio transmission system early xray experiment tesla worked briefly thomas edison establishing laboratory rivalry edison ac versus dc power known war current tesla demonstrated wireless power transmission envisioned global wireless communication despite genius died impoverished 1943 new york city,Famous Scientists,71,103,32
stephen hawking english theoretical physicist cosmologist author made major contribution understanding black hole cosmology developed hawking radiation theoretical prediction black hole emit radiation slowly evaporate also contributed noboundary proposal initial condition universe hawking worked singularity theorem collaboration roger penrose 1988 book brief history time became international bestseller introducing complex cosmological concept public hawking diagnosed motor neurone disease age 21 lived severe disability 50 year held lucasian professorship mathematics cambridge,Famous Scientists,69,108,39
galileo galilei italian astronomer physicist engineer played major role scientific revolution improved telescope made astronomical observation supported copernican heliocentric model observed moon jupiter phase venus sunspot mountain moon galileo formulated law falling body careful experimentation contradicting aristotelian physic tried inquisition defending heliocentrism spent final year house arrest work mechanic kinematics laid foundation newton often called father observational astronomy modern physic,Famous Scientists,60,100,40
richard feynman american theoretical physicist known work quantum electrodynamics particle physic lowtemperature physic developed path integral formulation quantum mechanic feynman diagram provide pictorial representation particle interaction awarded nobel prize physic 1965 feynman contributed development atomic bomb manhattan project famous enthusiasm teaching ability explain complex concept simple term book including surely youre joking mr feynman became popular general audience feynman also investigated space shuttle challenger disaster,Famous Scientists,65,100,35
alan turing english mathematician computer scientist logician cryptanalyst widely considered father computer science artificial intelligence formalized concept algorithm computation turing machine model world war two worked bletchley park developing technique break german enigma cipher machine contributing significantly allied victory proposed turing test measure machine intelligence turing made important contribution theoretical biology morphogenesis prosecuted homosexuality 1952 died 1954 circumstance remain disputed turing posthumously pardoned british government 2013,Famous Scientists,66,103,37
carl sagan american astronomer planetary scientist cosmologist astrophysicist science communicator made major contribution scientific research extraterrestrial life promoted search seti sagan assembled first physical message sent space pioneer 10 11 voyager 1 2 hosted cowrote television series cosmos became one widely watched series history american public television novel contact adapted film sagan advocated scientific skepticism vocal critic pseudoscience received nasa distinguished public service medal book pale blue dot remains influential,Famous Scientists,70,107,37
ada lovelace english mathematician often regarded first computer programmer worked charles babbage proposed mechanical generalpurpose computer analytical engine note analytical engine included recognized first algorithm intended processed machine lovelace recognized potential computing machine beyond pure calculation envisioning could compose music manipulate symbol daughter poet lord byron ada lovelace day celebrates womens contribution science technology programming language ada named honor died age 36 1852,Famous Scientists,63,101,38
rosalind franklin british chemist xray crystallographer whose work central understanding molecular structure dna rna virus coal graphite xray diffraction image dna including photo 51 critical evidence identifying double helix structure watson crick used data without knowledge build model dna franklin share 1962 nobel prize awarded watson crick wilkins partly died 1958 prize awarded posthumously contribution underrecognized lifetime later studied tobacco mosaic virus contributing structural virology,Famous Scientists,65,105,40
niels bohr danish physicist made foundational contribution understanding atomic structure quantum mechanic developed bohr model atom 1913 proposing electron orbit nucleus fixed energy level emit absorb energy changing level model successfully explained hydrogen spectrum bohr nobel prize physic 1922 contributed copenhagen interpretation quantum mechanic emphasizing probabilistic nature quantum event world war two escaped occupied denmark worked briefly manhattan project bohr founded institute theoretical physic copenhagen became center quantum research,Famous Scientists,69,108,39
max planck german theoretical physicist originated quantum theory winning nobel prize physic 1918 1900 proposed energy emitted absorbed discrete quantum rather continuously resolving ultraviolet catastrophe problem quantum action h called planck constant one fundamental constant nature planck quantum hypothesis transformed physic laid foundation quantum mechanic initially viewed quantum hypothesis mathematical trick rather physical reality evidence accumulated favor planck served president kaiser wilhelm society deutsche physikalische gesellschaft,Famous Scientists,66,105,39
james watson american molecular biologist geneticist zoologist best known one codiscoverers structure dna alongside francis crick 1953 discovery relied xray crystallography work rosalind franklin maurice wilkins watson crick built molecular model dna published finding nature shared nobel prize physiology medicine wilkins 1962 watson later served director human genome project leaving 1992 authored double helix personal account dna discovery watson later statement race genetics widely condemned scientific community,Famous Scientists,67,108,41
